FIRE_YEAR,LATITUDE,LONGITUDE,FIRE_SIZE
2001,47.59,-120.765,6914.0
2001,48.78861111,-118.49416667,6144.0
2001,42.17,-105.25777778,5410.0
2002,44.61861111,-121.47138889,23573.0
2002,37.43333333,-107.78305556,73121.0
2002,38.36972222,-109.10666667,6000.0
2002,37.56666667,-112.875,5283.0
2002,35.9525,-105.83555556,12995.0
2002,43.09777778,-122.73666667,48079.6
2002,43.09583333,-122.5525,10063.4
2002,43.28472222,-122.68361111,17600.0
2002,37.95833333,-112.20833333,42799.0
2002,37.41,-113.33777778,8100.0
2002,40.09805556,-107.22777778,5538.0
2002,40.70833333,-106.78138889,14403.0
2002,40.81472222,-106.81444444,16852.0
2002,44.31972222,-119.63694444,16948.0
2002,40.94888889,-109.44333333,20038.0
2002,32.37416667,-110.61,30600.0
2002,31.82222222,-109.13888889,5942.0
2002,37.05805556,-118.36861111,6400.0
2002,48.92444444,-120.47055556,7858.0
2002,38.45611111,-119.54555556,23020.0
2002,34.60916667,-119.36416667,21645.0
2002,42.62083333,-108.79083333,13433.0
2002,45.13666667,-109.69166667,5859.0
2002,45.66138889,-104.11888889,69900.0
2002,35.87361111,-118.45805556,150696.0
2002,33.31666667,-108.55027778,13525.0
2002,35.04194444,-112.0625,5550.0
2002,40.93777778,-110.80027778,14208.0
2002,39.68444444,-107.49472222,13493.0
2002,39.99416667,-107.28666667,17056.0
2002,39.54333333,-107.42333333,12209.0
2002,44.48916667,-118.50833333,5692.0
2002,44.28527778,-118.27944444,24667.0
2002,44.27916667,-118.68361111,9133.0
2002,31.485,-110.60194444,38179.0
2002,35.8425,-105.60388889,5800.0
2002,42.03888889,-123.91166667,499945.0
2002,43.93333333,-103.34833333,12443.0
2002,42.22888889,-120.55222222,5832.2
2002,42.92416667,-121.03666667,54800.0
2002,42.99166667,-121.17416667,24565.0
2002,42.31222222,-105.41,14855.0
2002,42.74888889,-120.68333333,33894.0
2002,39.0575,-105.40833333,137760.0
2002,34.23611111,-117.43194444,6559.0
2002,34.57138889,-118.39777778,5200.0
2002,34.58638889,-118.32527778,5124.0
2002,34.23027778,-117.7875,37240.0
2002,37.62694444,-106.6675,9294.0
2003,33.30027778,-108.73444444,5719.0
2003,45.56166667,-115.205,9674.0
2003,45.14388889,-115.26027778,6080.0
2003,45.56638889,-116.56694444,10504.0
2003,47.08611111,-112.6425,37405.0
2003,48.95305556,-118.40555556,5285.0
2003,34.4875,-118.75888889,63720.0
2003,43.58527778,-121.85638889,21135.0
2003,46.55666667,-114.43,12467.0
2003,47.41916667,-113.83194444,11300.0
2003,43.61472222,-104.005,17568.0
2003,46.0525,-114.83361111,11833.0
2003,46.02472222,-115.2925,12011.0
2003,33.93361111,-111.15138889,12900.0
2003,44.435,-121.83111111,79734.0
2003,44.63638889,-121.75861111,11035.0
2000,45.84194444,-113.3175,46681.0
2003,35.87805556,-105.79861111,6529.0
2003,35.13805556,-111.38805556,5270.0
2003,44.21472222,-115.24555556,5400.0
2003,44.68194444,-115.68416667,6970.0
2003,46.37083333,-113.93222222,8296.0
2003,34.19694444,-117.27611111,91281.0
2003,46.85027778,-114.75388889,33948.0
2003,47.02527778,-113.83472222,25202.0
2003,48.18944444,-113.91055556,14194.0
2003,33.6775,-109.25833333,10644.0
2003,33.61027778,-109.26277778,6105.0
2003,48.88361111,-114.55111111,50981.0
2003,48.49388889,-114.16583333,57273.0
2003,32.43,-110.77166667,82440.0
2003,47.41916667,-113.23805556,14845.0
2003,47.78111111,-113.33611111,11213.0
2003,47.46222222,-113.38666667,11772.0
2003,48.01555556,-113.73833333,7520.0
2003,44.74833333,-113.71722222,13843.0
2003,45.03333333,-113.83333333,10567.0
2003,44.69833333,-114.76444444,25007.0
2003,36.21805556,-118.13138889,6721.0
2003,40.45055556,-111.58111111,7828.0
2003,40.18305556,-111.45833333,5720.0
2003,39.76916667,-120.16027778,5635.0
2003,41.75305556,-121.32388889,9940.0
2003,48.75305556,-120.17972222,81343.0
2003,45.32944444,-114.62416667,5614.0
2003,48.6,-120.66666667,21300.0
2003,44.98611111,-107.65138889,7400.0
2003,44.89416667,-109.35916667,6980.0
2003,44.30444444,-109.88222222,5425.0
2003,44.13166667,-109.56972222,10953.0
2003,32.98555556,-116.7275,280059.0
2003,33.25555556,-116.95277778,56427.0
2003,33.20138889,-108.48583333,18585.0
2003,33.10222222,-108.40222222,65000.0
2003,33.35083333,-108.46916667,27600.0
2003,43.81888889,-115.31694444,26560.0
2003,39.61666667,-122.85083333,6058.0
1992,45.66527778,-121.93444444,24400.0
2004,30.13333333,-84.6,26279.0
2004,30.35833333,-82.48333333,34660.0
2002,32.84166667,-105.61666667,16020.0
2004,39.15444444,-119.82361111,8723.0
2004,37.46583333,-113.89027778,10000.0
